"sample","UIN","Stimulant"
"ACT12_D2_S18","ACT12","saline"
"ACT13_D2_S1","ACT13","saline"
"BCG12_D2_S20","BCG12","saline"
"BCG14_D2_S5","BCG14","saline"
"BCG15_D2_S15","BCG15","saline"
"BH0022_d7_S6","BH0022","TST_D7"
"BH0022_S2","BH0022","TST_D2"
"BH0029_d7_S5","BH0029","TST_D7"
"BH0046_d7_S15","BH0046","TST_D7"
"BH0046_S10","BH0046","TST_D2"
"BH0047_d7_S1","BH0047","TST_D7"
"BH0047_S3","BH0047","TST_D2"
"BH0049_d7_S4","BH0049","TST_D7"
"BH0049_S4","BH0049","TST_D2"
"BH0050_d7_S5","BH0050","TST_D7"
"BH0050_S5","BH0050","TST_D2"
"BH0051_d7_S6","BH0051","TST_D7"
"BH0051_S6","BH0051","TST_D2"
"BH0054_d7_S12","BH0054","TST_D7"
"BH0054_S8","BH0054","TST_D2"
"BH0055_d7_S6","BH0055","TST_D7"
"BH0055_S9","BH0055","TST_D2"
"BH0059_d7_S15","BH0059","TST_D7"
"BH0059_S12","BH0059","TST_D2"
"BH0069_S6","BH0069","TST_D2"
"BH0071_S8","BH0071","TST_D2"
"BH0073_d7_S9","BH0073","TST_D7"
"BH0073_S11","BH0073","TST_D2"
"BH0074_d7_S5","BH0074","TST_D7"
"BH0074_S12","BH0074","TST_D2"
"BH0085_S6","BH0085","TST_D2"
"BH0087_d7_S6","BH0087","TST_D7"
"BH0087_S8","BH0087","TST_D2"
"BH0093_d7_S7","BH0093","TST_D7"
"BH0093_S13","BH0093","TST_D2"
"BH0094_d7_S7","BH0094","TST_D7"
"BH0094_S14","BH0094","TST_D2"
"BH0095_d7_S10","BH0095","TST_D7"
"BH0095_S15","BH0095","TST_D2"
"BH0097_d7_S9","BH0097","TST_D7"
"BH0097_S1","BH0097","TST_D2"
"BH0098_d7_S13","BH0098","TST_D7"
"BH0098_S2","BH0098","TST_D2"
"BH0100_d7_S10","BH0100","TST_D7"
"BH0100_S4","BH0100","TST_D2"
"BH0104_d7_S13","BH0104","TST_D7"
"BH0104_S3","BH0104","TST_D2"
"BH0105_d7_S14","BH0105","TST_D7"
"BH0105_S4","BH0105","TST_D2"
"BH0107_d7_S15","HM0107","TST_D7"
"BH0108_d7_S15","BH0108","TST_D7"
"BH0108_S7","BH0108","TST_D2"
"BH0109_S8","BH0109","TST_D2"
"BH0112_d7_S3","BH0112","TST_D7"
"BH0112_S11","BH0112","TST_D2"
"BH0119_d7_S6","BH0119","TST_D7"
"BH0119_S1","BH0119","TST_D2"
"BH0123_S5","BH0123","TST_D2"
"BH0124_d7_S7","BH0124","TST_D7"
"BH0124_S6","BH0124","TST_D2"
"BH0125_d7_S8","BH0125","TST_D7"
"BH0125_S1","BH0125","TST_D2"
"BH0129_d7_S10","BH0129","TST_D7"
"BH0129_S11","BH0129","TST_D2"
"BH0131_d7_S7","BH0131","TST_D7"
"BH0131_S13","BH0131","TST_D2"
"BH0135_S5","BH0135","TST_D2"
"BH0143_S10","BH0143","TST_D2"
"BH0145_d7_S8","BH0145","TST_D7"
"BH0145_S12","BH0145","TST_D2"
"BH0147_d7_S15","BH0147","TST_D7"
"BH0147_S14","BH0147","TST_D2"
"BH0148_d7_S1","RF0148","TST_D7"
"BH0158_S8","BH0158","TST_D2"
"BH0160_d7_S10","BH0160","TST_D7"
"BH0160_S10","BH0160","TST_D2"
"BH0161_d7_S11","BH0161","TST_D7"
"BH0161_S11","BH0161","TST_D2"
"BH0162_d7_S12","BH0162","TST_D7"
"BH0162_S12","BH0162","TST_D2"
"BH0163_d7_S10","BH0163","TST_D7"
"BH0163_S13","BH0163","TST_D2"
"BH0164_d7_S5","BH0164","TST_D7"
"BH0164_S14","BH0164","TST_D2"
"BH0174_S8","BH0174","TST_D2"
"BH0175_d7_S9","BH0175","TST_D7"
"BH0175_S9","BH0175","TST_D2"
"BH0178_S12","BH0178","TST_D2"
"HIRV_15_SB2_S1","WH0015","TST_D2"
"HIRV_16_SB2_S2","WH0016","TST_D2"
"HIRV_17_SB2_S3","WH0017","TST_D2"
"HIRV_18_SB2_S4","WH0018","TST_D2"
"HIRV_19_SB2_S5","WH0019","TST_D2"
"HIRV_20_SB2_S6","WH0020","TST_D2"
"HIRV_21_SB2_S7","WH0021","TST_D2"
"HIRV_24_SB2_S8","WH0024","TST_D2"
"HIRV_26_SB2_S9","WH0026","TST_D2"
"HIRV_28_SB2_S10","WH0028","TST_D2"
"HIRV_29_SB2_S11","BH0029","TST_D2"
"HIRV_30_SB2_S12","WH0030","TST_D2"
"HIRV_31_SB2_S13","WH0031","TST_D2"
"HIRV_32_SB2_S14","RF0032","TST_D2"
"HIRV_33_SB2_S15","WH0033","TST_D2"
"HIRV_35_SB2_S16","WH0035","TST_D2"
"HM0065_S2","HM0065","TST_D2"
"HM0068_d7_S8","HM0068","TST_D7"
"HM0068_S5","HM0068","TST_D2"
"HM0079_S16","HM0079","TST_D2"
"HM0091_d7_S8","HM0091","TST_D7"
"HM0091_S12","HM0091","TST_D2"
"HM0096_d7_S5","HM0096","TST_D7"
"HM0096_S16","HM0096","TST_D2"
"HM0103_d7_S12","HM0103","TST_D7"
"HM0103_S2","HM0103","TST_D2"
"HM0106_d7_S1","HM0106","TST_D7"
"HM0106_S5","HM0106","TST_D2"
"HM0107_S6","HM0107","TST_D2"
"HM0113_S12","NM0113","TST_D2"
"HM0136_d7_S11","NM0136","TST_D7"
"HM0141_d7_S9","HM0141","TST_D7"
"HM0141_S8","HM0141","TST_D2"
"HM0171_d7_S10","HM0171","TST_D7"
"HM0171_S5","HM0171","TST_D2"
"HV11_D2_S15","HV11","saline"
"HV12_D2_S13","HV12","saline"
"HV16_D2_S7","HV16","saline"
"LAT10_D2_S19","LAT10","saline"
"LAT13_D2_S21","LAT13","saline"
"LAT14_D2_S21","LAT14","saline"
"NM0041_d7_S6","NM0041","TST_D7"
"NM0041_S7","NM0041","TST_D2"
"NM0044_d7_S12","NM0044","TST_D7"
"NM0044_S9","NM0044","TST_D2"
"NM0064_S1","NM0064","TST_D2"
"NM0072_S10","NM0072","TST_D2"
"NM0099_S3","NM0099","TST_D2"
"NM0113_d7_S16","NM0113","TST_D7"
"NM0126_d7_S9","NM0126","TST_D7"
"NM0126_S2","NM0126","TST_D2"
"NM0136_S6","NM0136","TST_D2"
"NM0137_S7","NM0137","TST_D2"
"NM0146_d7_S14","NM0146","TST_D7"
"NM0146_S13","NM0146","TST_D2"
"NM0155_S5","NM0155","TST_D2"
"NM0169_d7_S9","NM0169","TST_D7"
"NM0169_S3","NM0169","TST_D2"
"NM0172_S6","NM0172","TST_D2"
"NM0221_d7_S7","NM0221","TST_D7"
"NM0221_S2","NM0221","TST_D2"
"PTB007_D2_S21","PTB007","saline"
"PTB043_D2_S20","PTB043","saline"
"PTB069_D2_S19","PTB069","saline"
"PTB072_D2_S11","PTB072","saline"
"PTB073_D2_S6","PTB073","saline"
"PTB081_D2_S23","PTB081","saline"
"RF0009_SB_48H_S9","RF0009","TST_D2"
"RF0025_d7_S7","RF0025","TST_D7"
"RF0032_d7_S11","RF0032","TST_D7"
"RF0034_d7_S14","RF0034","TST_D7"
"RF0034_S1","RF0034","TST_D2"
"RF0035_d7_S2","WH0035","TST_D7"
"RF0036_S2","RF0036","TST_D2"
"RF0037_d7_S6","RF0037","TST_D7"
"RF0037_S3","RF0037","TST_D2"
"RF0053_d7_S9","RF0053","TST_D7"
"RF0057_S10","RF0057","TST_D2"
"RF0058_d7_S9","RF0058","TST_D7"
"RF0058_S11","RF0058","TST_D2"
"RF0078_d7_S12","RF0078","TST_D7"
"RF0078_S15","RF0078","TST_D2"
"RF0081_d7_S9","RF0081","TST_D7"
"RF0081_S2","RF0081","TST_D2"
"RF0148_S15","RF0148","TST_D2"
"RF0173_d7_S8","RF0173","TST_D7"
"RF0173_S7","RF0173","TST_D2"
"RF0227_S2","RF0227","TST_D2"
"RF0235_S2","RF0235","TST_D2"
"TT10SAL_S10","TT10","saline"
"TT11SAL_S12","TT11","saline"
"TT12SAL_S14","TT12","saline"
"TT14SAL_S1","TT14","saline"
"TT15SAL_S3","TT15","saline"
"TT16SAL_S5","TT16","saline"
"TT17SAL_S7","TT17","saline"
"TT18SAL_S9","TT18","saline"
"TT1SAL_PGU118_S2","TT1","saline"
"TT20_SAL_S2","TT20","saline"
"TT21_SAL_S3","TT21","saline"
"TT3SAL_PGU118_S4","TT3","saline"
"TT5SAL_PGU118_S6","TT5","saline"
"TT6SAL_PGU118_S8","TT6","saline"
"TT8SAL_PGU118_S10","TT8","saline"
"TT9SAL_PGU118_S12","TT9","saline"
"WH0001_d7_S12","WH0001","TST_D7"
"WH0001_SB_48H_S1","WH0001","TST_D2"
"WH0002_d7_S8","WH0002","TST_D7"
"WH0002_SB_48H_S2","WH0002","TST_D2"
"WH0003_d7_S9","WH0003","TST_D7"
"WH0003_SB_48H_S3","WH0003","TST_D2"
"WH0004_SB_48H_S4","WH0004","TST_D2"
"WH0005_d7_S10","WH0005","TST_D7"
"WH0005_SB_48H_S5","WH0005","TST_D2"
"WH0006_SB_48H_S6","WH0006","TST_D2"
"WH0007_SB_48H_S7","WH0007","TST_D2"
"WH0008_SB_48H_S8","WH0008","TST_D2"
"WH0010_d7_S11","WH0010","TST_D7"
"WH0010_SB_48H_S13","WH0010","TST_D2"
"WH0011_d7_S3","WH0011","TST_D7"
"WH0011_SB_48H_S14","WH0011","TST_D2"
"WH0012_d7_S5","WH0012","TST_D7"
"WH0012_S1","WH0012","TST_D2"
"WH0013_d7_S12","WH0013","TST_D7"
"WH0013_SB_48H_S15","WH0013","TST_D2"
"WH0014_SB_48H_S16","WH0014","TST_D2"
"WH0017_d7_S5","WH0017","TST_D7"
"WH0018_d7_S13","WH0018","TST_D7"
"WH0019_d7_S14","WH0019","TST_D7"
"WH0020_d7_S15","WH0020","TST_D7"
"WH0021_d7_S16","WH0021","TST_D7"
"WH0024_d7_S8","WH0024","TST_D7"
"WH0026_d7_S8","WH0026","TST_D7"
"WH0031_d7_S9","WH0031","TST_D7"
"WH0033_d7_S10","WH0033","TST_D7"
"WH0038_d7_S11","WH0038","TST_D7"
"WH0038_S4","WH0038","TST_D2"
"WH0039_d7_S7","WH0039","TST_D7"
"WH0039_S5","WH0039","TST_D2"
"WH0040_d7_S4","WH0040","TST_D7"
"WH0040_S6","WH0040","TST_D2"
"WH0043_d7_S8","WH0043","TST_D7"
"WH0043_S8","WH0043","TST_D2"
"WH0045_d7_S10","WH0045","TST_D7"
"WH0052_S7","WH0052","TST_D2"
"WH0060_d7_S7","WH0060","TST_D7"
"WH0060_S13","WH0060","TST_D2"
"WH0061_d7_S13","WH0061","TST_D7"
"WH0061_S14","WH0061","TST_D2"
"WH0062_d7_S3","WH0062","TST_D7"
"WH0062_S15","WH0062","TST_D2"
"WH0063_d7_S14","WH0063","TST_D7"
"WH0063_S16","WH0063","TST_D2"
"WH0066_d7_S15","WH0066","TST_D7"
"WH0066_S3","WH0066","TST_D2"
"WH0067_d7_S16","WH0067","TST_D7"
"WH0067_S4","WH0067","TST_D2"
"WH0070_d7_S5","WH0070","TST_D7"
"WH0070_S7","WH0070","TST_D2"
"WH0075_d7_S10","WH0075","TST_D7"
"WH0075_S13","WH0075","TST_D2"
"WH0076_d7_S11","WH0076","TST_D7"
"WH0076_S14","WH0076","TST_D2"
"WH0077_d7_S7","WH0077","TST_D7"
"WH0077_S9","WH0077","TST_D2"
"WH0080_d7_S13","WH0080","TST_D7"
"WH0080_S1","WH0080","TST_D2"
"WH0082_d7_S14","WH0082","TST_D7"
"WH0082_S3","WH0082","TST_D2"
"WH0083_d7_S11","WH0083","TST_D7"
"WH0083_S4","WH0083","TST_D2"
"WH0084_d7_S14","WH0084","TST_D7"
"WH0084_S5","WH0084","TST_D2"
"WH0086_d7_S2","WH0086","TST_D7"
"WH0086_S7","WH0086","TST_D2"
"WH0088_d7_S15","WH0088","TST_D7"
"WH0088_S9","WH0088","TST_D2"
"WH0089_d7_S13","WH0089","TST_D7"
"WH0089_S10","WH0089","TST_D2"
"WH0090_d7_S16","WH0090","TST_D7"
"WH0090_S11","WH0090","TST_D2"
"WH0102_d7_S11","WH0102","TST_D7"
"WH0102_S1","WH0102","TST_D2"
"WH0110_d7_S1","WH0110","TST_D7"
"WH0110_S9","WH0110","TST_D2"
"WH0111_d7_S2","WH0111","TST_D7"
"WH0111_S10","WH0111","TST_D2"
"WH0115_d7_S4","WH0115","TST_D7"
"WH0115_S13","WH0115","TST_D2"
"WH0116_d7_S5","WH0116","TST_D7"
"WH0116_S14","WH0116","TST_D2"
"WH0117_S15","WH0117","TST_D2"
"WH0118_d7_S13","WH0118","TST_D7"
"WH0118_S16","WH0118","TST_D2"
"WH0120_d7_S6","WH0120","TST_D7"
"WH0120_S2","WH0120","TST_D2"
"WH0121_d7_S7","WH0121","TST_D7"
"WH0121_S3","WH0121","TST_D2"
"WH0122_d7_S8","WH0122","TST_D7"
"WH0122_S4","WH0122","TST_D2"
"WH0127_d7_S5","WH0127","TST_D7"
"WH0127_S9","WH0127","TST_D2"
"WH0128_d7_S6","WH0128","TST_D7"
"WH0128_S10","WH0128","TST_D2"
"WH0130_d7_S9","WH0130","TST_D7"
"WH0130_S12","WH0130","TST_D2"
"WH0132_d7_S10","WH0132","TST_D7"
"WH0132_S14","WH0132","TST_D2"
"WH0133_d7_S11","WH0133","TST_D7"
"WH0133_S3","WH0133","TST_D2"
"WH0134_d7_S12","WH0134","TST_D7"
"WH0134_S4","WH0134","TST_D2"
"WH0139_d7_S12","WH0139","TST_D7"
"WH0142_d7_S13","WH0142","TST_D7"
"WH0142_S9","WH0142","TST_D2"
"WH0144_d7_S13","WH0144","TST_D7"
"WH0144_S11","WH0144","TST_D2"
"WH0149_d7_S14","WH0149","TST_D7"
"WH0149_S16","WH0149","TST_D2"
"WH0150_d7_S2","WH0150","TST_D7"
"WH0151_S1","WH0151","TST_D2"
"WH0152_d7_S15","WH0152","TST_D7"
"WH0152_S2","WH0152","TST_D2"
"WH0153_S3","WH0153","TST_D2"
"WH0154_d7_S16","WH0154","TST_D7"
"WH0154_S4","WH0154","TST_D2"
"WH0155_d7_S3","NM0155","TST_D7"
"WH0156_d7_S8","WH0156","TST_D7"
"WH0156_S6","WH0156","TST_D2"
"WH0157_d7_S9","WH0157","TST_D7"
"WH0157_S7","WH0157","TST_D2"
"WH0159_d7_S4","WH0159","TST_D7"
"WH0159_S9","WH0159","TST_D2"
"WH0165_d7_S6","WH0165","TST_D7"
"WH0165_S15","WH0165","TST_D2"
"WH0166_d7_S7","WH0166","TST_D7"
"WH0166_S16","WH0166","TST_D2"
"WH0167_d7_S8","WH0167","TST_D7"
"WH0167_S1","WH0167","TST_D2"
"WH0168_d7_S13","WH0168","TST_D7"
"WH0168_S2","WH0168","TST_D2"
"WH0170_d7_S14","WH0170","TST_D7"
"WH0170_S4","WH0170","TST_D2"
"WH0176_d7_S15","WH0176","TST_D7"
"WH0176_S10","WH0176","TST_D2"
"WH0177_d7_S11","WH0177","TST_D7"
"WH0177_S11","WH0177","TST_D2"
"WH0179_S13","WH0179","TST_D2"
"WH0180_S10","WH0180","TST_D2"
"WH0181_d7_S12","WH0181","TST_D7"
"WH0181_S12","WH0181","TST_D2"
"WH0182_d7_S13","WH0182","TST_D7"
"WH0182_S13","WH0182","TST_D2"
"WH0183_d7_S14","WH0183","TST_D7"
"WH0183_S14","WH0183","TST_D2"
"WH0184_d7_S16","WH0184","TST_D7"
"WH0184_S15","WH0184","TST_D2"
"WH0185_d7_S10","WH0185","TST_D7"
"WH0185_S16","WH0185","TST_D2"
"WH0186_d7_S7","WH0186","TST_D7"
"WH0186_S11","WH0186","TST_D2"
"WH0187_d7_S7","WH0187","TST_D7"
"WH0187_S12","WH0187","TST_D2"
"WH0188_d7_S6","WH0188","TST_D7"
"WH0188_S13","WH0188","TST_D2"
"WH0189_d7_S15","WH0189","TST_D7"
"WH0189_S14","WH0189","TST_D2"
"WH0191_d7_S7","WH0191","TST_D7"
"WH0191_S15","WH0191","TST_D2"
"WH0192_S16","WH0192","TST_D2"
"WH0193_d7_S12","WH0193","TST_D7"
"WH0193_S1","WH0193","TST_D2"
"WH0194_d7_S8","WH0194","TST_D7"
"WH0194_S2","WH0194","TST_D2"
"WH0195_S3","WH0195","TST_D2"
"WH0196_d7_S14","WH0196","TST_D7"
"WH0196_S4","WH0196","TST_D2"
"WH0197_S1","WH0197","TST_D2"
"WH0198_S2","WH0198","TST_D2"
"WH0199_d7_S2","WH0199","TST_D7"
"WH0199_S3","WH0199","TST_D2"
"WH0200_d7_S3","WH0200","TST_D7"
"WH0200_S4","WH0200","TST_D2"
"WH0201_S1","WH0201","TST_D2"
"WH0202_S2","WH0202","TST_D2"
"WH0203_S3","WH0203","TST_D2"
"WH0204_S4","WH0204","TST_D2"
"WH0205_S1","WH0205","TST_D2"
"WH0206_S2","WH0206","TST_D2"
"WH0208_S3","WH0208","TST_D2"
"WH0209_S4","WH0209","TST_D2"
"WH0210_d7_S4","WH0210","TST_D7"
"WH0210_S1","WH0210","TST_D2"
"WH0212_S2","WH0212","TST_D2"
"WH0213_S3","WH0213","TST_D2"
"WH0214_S4","WH0214","TST_D2"
"WH0215_d7_S5","WH0215","TST_D7"
"WH0215_S1","WH0215","TST_D2"
"WH0216_S2","WH0216","TST_D2"
"WH0217_S3","WH0217","TST_D2"
"WH0218_S4","WH0218","TST_D2"
"WH0219_S1","WH0219","TST_D2"
"WH0220_d7_S6","WH0220","TST_D7"
"WH0222_S3","WH0222","TST_D2"
"WH0223_d7_S8","WH0223","TST_D7"
"WH0223_S4","WH0223","TST_D2"
"WH0224_d7_S9","WH0224","TST_D7"
"WH0224_S5","WH0224","TST_D2"
"WH0225_S6","WH0225","TST_D2"
"WH0226_S1","WH0226","TST_D2"
"WH0228_d7_S10","WH0228","TST_D7"
"WH0228_S3","WH0228","TST_D2"
"WH0229_d7_S11","WH0229","TST_D7"
"WH0230_S4","WH0230","TST_D2"
"WH0231_S5","WH0231","TST_D2"
"WH0232_S6","WH0232","TST_D2"
"WH0233_S1","WH0233","TST_D2"
"WH0237_S3","WH0237","TST_D2"
"WH0238_S4","WH0238","TST_D2"
