"ID","Coef","StdErr","Zscore","Pvalue"
"CXCL12","1.254e-02","2.173e-03","5.793","0.000e+00"
"IFNL","2.531e-02","2.101e-03","12.059","0.000e+00"
"IFNG","2.671e-02","2.031e-03","13.155","0.000e+00"
"IL18","9.256e-03","2.093e-03","4.424","0.000e+00"
"IL1B","1.346e-02","1.831e-03","7.342","0.000e+00"
"IFN1","2.710e-02","2.073e-03","13.068","0.000e+00"
"IL27","2.396e-02","2.120e-03","11.288","0.000e+00"
"IL21","1.277e-02","2.181e-03","5.887","0.000e+00"
"TWEAK","7.546e-03","2.015e-03","3.733","0.000e+00"
"Testosterone","-8.593e-03","2.231e-03","-3.914","0.000e+00"
"TNFA","1.186e-02","1.780e-03","6.642","0.000e+00"
"OSM","1.419e-02","2.140e-03","6.613","0.000e+00"
"LIF","9.609e-03","2.186e-03","4.386","0.000e+00"
"IL36","1.003e-02","2.015e-03","4.922","0.000e+00"
"HMGB1","6.523e-03","2.252e-03","2.906","1.000e-03"
"PDGFD","6.266e-03","2.139e-03","2.922","1.000e-03"
"IL6","9.303e-03","2.165e-03","4.272","1.000e-03"
"BMP6","-6.776e-03","2.176e-03","-3.100","2.000e-03"
"IL12","6.706e-03","2.164e-03","3.084","2.000e-03"
"IL1A","7.363e-03","1.937e-03","3.791","3.000e-03"
"IL15","6.595e-03","2.206e-03","3.016","5.000e-03"
"FGF2","6.314e-03","2.223e-03","2.879","6.000e-03"
"WNT5A","6.389e-03","2.264e-03","2.797","7.000e-03"
"IL33","5.273e-03","2.025e-03","2.600","1.000e-02"
"Dihydrotestosterone","-5.257e-03","2.189e-03","-2.365","1.700e-02"
"PGE2","4.925e-03","2.172e-03","2.252","2.700e-02"
"GCSF","-4.591e-03","2.099e-03","-2.160","2.800e-02"
"IGF1","-4.475e-03","2.127e-03","-2.166","3.000e-02"
"Palmitic acid","4.829e-03","2.248e-03","2.129","3.500e-02"
"BMP7","-4.563e-03","2.324e-03","-1.976","5.500e-02"
"Progesterone","4.235e-03","2.290e-03","1.841","6.300e-02"
"BDNF","3.908e-03","2.260e-03","1.749","7.800e-02"
"Activin A","3.640e-03","2.175e-03","1.683","1.000e-01"
"TGFA","3.352e-03","2.191e-03","1.511","1.140e-01"
"INS","-3.219e-03","2.120e-03","-1.507","1.440e-01"
"NO","3.064e-03","2.136e-03","1.431","1.500e-01"
"GMCSF","-2.799e-03","2.058e-03","-1.331","1.730e-01"
"EGF","-2.726e-03","2.064e-03","-1.392","1.820e-01"
"BMP4","2.866e-03","2.160e-03","1.348","1.830e-01"
"IL13","2.885e-03","2.225e-03","1.297","1.940e-01"
"CD40L","2.278e-03","1.886e-03","1.172","2.200e-01"
"IL22","2.684e-03","2.206e-03","1.133","2.240e-01"
"TRAIL","2.506e-03","2.137e-03","1.175","2.250e-01"
"GDF11","2.425e-03","2.254e-03","1.036","2.850e-01"
"IL3","-2.382e-03","2.270e-03","-0.997","3.080e-01"
"MCSF","2.126e-03","2.206e-03","0.968","3.240e-01"
"HGF","1.988e-03","2.022e-03","0.986","3.240e-01"
"IL10","2.123e-03","2.167e-03","0.982","3.410e-01"
"BMP2","1.751e-03","2.221e-03","0.762","4.030e-01"
"PDGFB","1.702e-03","2.042e-03","0.798","4.060e-01"
"NRG1","1.889e-03","2.356e-03","0.765","4.060e-01"
"IL4","-1.653e-03","2.286e-03","-0.689","4.380e-01"
"N-3 PUFA","1.691e-03","2.297e-03","0.728","4.830e-01"
"Estradiol","-1.199e-03","2.189e-03","-0.534","5.830e-01"
"WNT3A","-1.045e-03","2.260e-03","-0.413","6.450e-01"
"TGFB1","8.152e-04","2.149e-03","0.359","7.160e-01"
"TSLP","8.795e-04","2.249e-03","0.376","7.330e-01"
"TGFB3","5.910e-04","2.157e-03","0.294","7.710e-01"
"IL17A","5.041e-04","2.075e-03","0.202","8.110e-01"
"IL2","4.056e-04","2.067e-03","0.189","8.430e-01"
"LTA","-3.492e-04","2.131e-03","-0.187","8.580e-01"
"VEGFA","-2.833e-04","2.054e-03","-0.175","8.800e-01"
"EPO","-1.656e-04","2.229e-03","-0.027","9.470e-01"
"CCL2","-7.757e-05","2.288e-03","-0.056","9.750e-01"