regulator,Molecule.Type,p.value.of.overlap,p_adj,overlap_genes,n_overlap
IFNL1,cytokine,4.2e-42,1.07e-39,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,LGALS3BP,MX1,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,UBE2L6,USP18",NA
IFNA2,cytokine,2.3299999999999997e-40,3.78e-38,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18",NA
TYPE_I_INTERFERON_COLLAPSED,NA,NA,3.78e-38,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TIMP1,TRIM21,UBE2L6,USP18",29
IFN_ALPHA_COLLAPSED,NA,NA,3.78e-38,"BST2,CMPK2,DDX60,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18",27
CSF1,cytokine,3.77e-37,4.49e-35,"BST2,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TRIM21,UBE2L6,USP18",NA
IFNG,cytokine,1.38e-26,6.86e-25,"BST2,CFB,CMPK2,DDX60,DKK1,HCP5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IFNK,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RGCC,RIGI,RSAD2,SLC40A1,TIMP1,TRIM21,UBE2L6,USP18",NA
IFNB1,cytokine,6.97e-25,2.96e-23,"BST2,CMPK2,HERC5,IFI6,IFIT1,IFIT3,IFITM1,IFNK,IRF7,ISG15,MX1,MX2,OAS1,OAS2,PARP9,RIGI,RSAD2,TIMP1,TRIM21,USP18",NA
IL4,cytokine,1.38e-24,5.73e-23,"BST2,CARD16,CMPK2,DDX60,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IRF7,ISG15,LGALS3BP,LY6E,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RIGI,RSAD2,TIMP1,TRIM21,UBE2L6,USP18",NA
IL27,cytokine,2.11e-24,8.549999999999999e-23,"BST2,IFI35,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RSAD2,TRIM21,UBE2L6",NA
IL1RN,cytokine,5.730000000000001e-21,1.86e-19,"IFI44L,IFI6,IFIT3,IRF7,MX1,MX2,OAS1,OAS2,OAS3,OASL,RIGI,RSAD2,TIMP1,USP18",NA
TNF,cytokine,8.5e-20,2.62e-18,"BST2,CARD16,CFB,CMPK2,DDX60,DKK1,GAST,HELZ2,HERC5,IFI35,IFI44L,IFI6,IFIT1,IFIT3,IFITM1,IFITM2,IRF7,ISG15,MX1,MX2,OAS1,OAS2,OAS3,OASL,PARP9,RGCC,RIGI,RSAD2,SLC40A1,TIMP1,TRIM21",NA
IFNL4,cytokine,1.3e-19,3.93e-18,"IFI6,IFIT1,ISG15,MX1,OAS1,OAS2,OASL,RIGI",NA
IL1B,cytokine,6.11e-18,1.68e-16,"ADAMTS1,CFB,CMPK2,DDX60,GAST,HELZ2,HERC5,IFIT1,IFIT3,IFITM2,IRF7,ISG15,MX1,OAS1,OAS2,OAS3,PARP9,RGCC,RIGI,RSAD2,TIMP1,TRIM21,UBE2L6,USP18",NA
IFNA4,cytokine,6.91e-10,8.33e-9,"BST2,IFIT1,ISG15,MX1,RSAD2,USP18",NA
IFNE,cytokine,1.91e-8,1.95e-7,"BST2,HERC5,ISG15,MX2,USP18",NA
IL15,cytokine,4.22e-8,4.12e-7,"BST2,IFI35,IFI6,IFIT1,IFITM1,ISG15,LY6E,MX1,TIMP1,UBE2L6",NA
IFNL2,other,4.51e-8,4.33e-7,"IFIT1,IRF7,MX1,RSAD2",NA
TNFSF10,cytokine,3.45e-7,3.03e-6,"IFI6,IFIT1,IFITM1,IFITM2,ISG15,TIMP1",NA
PF4,cytokine,1.38e-6,1.08e-5,"CMPK2,ISG15,RIGI,RSAD2,USP18",NA
IFNA14,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1",NA
IFNA10,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1",NA
IFNA21,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1",NA
IFNA5,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1",NA
IFNA7,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1",NA
IFNA6,cytokine,2.36e-6,1.76e-5,"IFIT1,ISG15,MX1",NA
IFNA8,cytokine,2.95e-6,2.16e-5,"IFIT1,ISG15,MX1",NA
IFNA16,cytokine,2.95e-6,2.16e-5,"IFIT1,ISG15,MX1",NA
THPO,cytokine,2.99e-6,2.18e-5,"CMPK2,ISG15,RIGI,RSAD2,USP18",NA
MIF,cytokine,1.14e-5,7.63e-5,"IRF7,ISG15,OAS3,TIMP1,USP18",NA
CX3CL1,cytokine,1.26e-5,8.34e-5,"ADAMTS1,IRF7,LGALS3BP,SLC40A1,TIMP1",NA
IL2,cytokine,1.71e-5,1.1e-4,"IFI6,ISG15,LY6E,MX1,PLAC8,RGCC,S100A4,SLC40A1,TIMP1",NA
OSM,cytokine,1.82e-5,1.17e-4,"ADAMTS1,CFB,IFI35,IRF7,MX1,OAS1,TIMP1,UBE2L6",NA
IL36G,cytokine,2.77e-5,1.66e-4,"IFI35,IRF7,ISG15,RSAD2,USP18",NA
IL21,cytokine,2.91e-5,1.74e-4,"CMPK2,IRF7,ISG15,RSAD2,USP18",NA
CD40LG,cytokine,1.28e-4,6.44e-4,"IFI6,IFIT1,IFIT3,IFITM1,ISG15,MX1",NA
IL1A,cytokine,4.1e-4,0.00182,"ADAMTS1,IFIT1,IRF7,MX2,TIMP1",NA
IFNL3,other,6.01e-4,0.00258,"MX1,RIGI",NA
BMP10,growth factor,8.06e-4,0.0033,"CMPK2,RSAD2,TIMP1",NA
IFNK,cytokine,8.84e-4,0.00357,"MX1,OAS1",NA
GPR15LG,cytokine,0.00308,0.0108,"IFIT1,IFIT3",NA
TGFB1,growth factor,0.00897,0.0262,"CFB,HERC5,IFIT3,ISG15,MX1,PNPT1,RGCC,RSAD2,S100A4,TIMP1",NA
TSLP,cytokine,0.0091,0.0264,"MX1,TIMP1",NA
BMP7,growth factor,0.0109,0.0307,"DKK1,S100A4,TIMP1",NA
GDF5,growth factor,0.0133,0.0353,DKK1,NA
CCL18,cytokine,0.0152,0.0387,S100A4,NA
IL11,cytokine,0.0164,0.0413,"DKK1,TIMP1",NA
BMP6,growth factor,0.017,0.0423,"ADAMTS1,TIMP1",NA
AREG,growth factor,0.0173,0.0426,"IFI6,IFIT3",NA
